"gene_id","symbol","has_symbol","approved_symbol","has_entrez","chr","start","end","strand","width","gene_biotype","in_ensembl","retired","pass_biotype","is_coding","complete_orf","multi_exon","n_tx","max_exons","has_ccds","min_tsl","has_appris_principal","has_gencode_basic","overlaps_full","nested_in_full","overlaps_keep","nested_in_keep","confidence_tier","keep","keep_no_nested","keep_high_medium","keep_high_medium_no_nested","keep_high","keep_high_no_nested"
"ENSG00000002330","BAD",TRUE,TRUE,TRUE,"chr11",64269830,64284704,"-",14875,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,7,5,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000002549","LAP3",TRUE,TRUE,TRUE,"chr4",17577192,17607972,"+",30781,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,11,13,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000002586","CD99",TRUE,TRUE,TRUE,"chrX",2691179,2741309,"+",50131,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,12,11,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000002587","HS3ST1",TRUE,TRUE,TRUE,"chr4",11393150,11429765,"-",36616,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,2,TRUE,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000002726","AOC1",TRUE,TRUE,TRUE,"chr7",150824627,150861504,"+",36878,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,9,12,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000002745","WNT16",TRUE,TRUE,TRUE,"chr7",121325367,121341104,"+",15738,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2,4,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000002746","HECW1",TRUE,TRUE,TRUE,"chr7",43112599,43566001,"+",453403,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,11,30,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000002822","MAD1L1",TRUE,TRUE,TRUE,"chr7",1815793,2233243,"-",417451,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,23,19,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000002834","LASP1",TRUE,TRUE,TRUE,"chr17",38869859,38921770,"+",51912,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,9,8,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000002919","SNX11",TRUE,TRUE,TRUE,"chr17",48103357,48123074,"+",19718,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,13,8,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000002933","TMEM176A",TRUE,TRUE,TRUE,"chr7",150800403,150805120,"+",4718,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,11,7,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000003056","M6PR",TRUE,TRUE,TRUE,"chr12",8940363,8949955,"-",9593,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,13,7,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000003096","KLHL13",TRUE,TRUE,TRUE,"chrX",117897813,118117340,"-",219528,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,11,8,TRUE,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000003137","CYP26B1",TRUE,TRUE,TRUE,"chr2",72129238,72148038,"-",18801,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,6,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000003147","ICA1",TRUE,TRUE,TRUE,"chr7",8113184,8262687,"-",149504,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,18,15,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000003249","DBNDD1",TRUE,TRUE,TRUE,"chr16",90004865,90020128,"-",15264,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,7,5,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000003393","ALS2",TRUE,TRUE,TRUE,"chr2",201700554,201781189,"-",80636,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,12,34,TRUE,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000003400","CASP10",TRUE,TRUE,TRUE,"chr2",201182881,201229406,"+",46526,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,13,10,TRUE,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000003402","CFLAR",TRUE,TRUE,TRUE,"chr2",201116104,201176687,"+",60584,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,25,10,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000003436","TFPI",TRUE,TRUE,TRUE,"chr2",187464230,187565760,"-",101531,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,13,8,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000003509","NDUFAF7",TRUE,TRUE,TRUE,"chr2",37231631,37253403,"+",21773,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,13,10,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000003756","RBM5",TRUE,TRUE,TRUE,"chr3",50088908,50119021,"+",30114,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,26,25,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000003987","MTMR7",TRUE,TRUE,TRUE,"chr8",17298030,17413528,"-",115499,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,9,14,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000003989","SLC7A2",TRUE,TRUE,TRUE,"chr8",17497088,17570573,"+",73486,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,14,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004059","ARF5",TRUE,TRUE,TRUE,"chr7",127588345,127591705,"+",3361,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,6,6,TRUE,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,"high",TRUE,FALSE,TRUE,FALSE,TRUE,FALSE
"ENSG00000004139","SARM1",TRUE,TRUE,TRUE,"chr17",28364356,28404049,"+",39694,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,8,11,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004142","POLDIP2",TRUE,TRUE,TRUE,"chr17",28347177,28357522,"-",10346,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2,11,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004399","PLXND1",TRUE,TRUE,TRUE,"chr3",129555175,129606818,"-",51644,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,17,36,TRUE,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004455","AK2",TRUE,TRUE,TRUE,"chr1",33007984,33080996,"-",73013,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,13,8,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004468","CD38",TRUE,TRUE,TRUE,"chr4",15778275,15853230,"+",74956,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,8,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004478","FKBP4",TRUE,TRUE,TRUE,"chr12",2794953,2805423,"+",10471,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,7,10,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004487","KDM1A",TRUE,TRUE,TRUE,"chr1",23019448,23083689,"+",64242,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,6,21,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004534","RBM6",TRUE,TRUE,TRUE,"chr3",49940007,50100045,"+",160039,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,20,21,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004660","CAMKK1",TRUE,TRUE,TRUE,"chr17",3860315,3894891,"-",34577,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4,16,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004700","RECQL",TRUE,TRUE,TRUE,"chr12",21468911,21501669,"-",32759,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,8,16,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004766","VPS50",TRUE,TRUE,TRUE,"chr7",93232340,93361121,"+",128782,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,20,29,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004776","HSPB6",TRUE,TRUE,TRUE,"chr19",35754568,35758079,"-",3512,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,4,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004777","ARHGAP33",TRUE,TRUE,TRUE,"chr19",35774532,35788822,"+",14291,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,13,21,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004779","NDUFAB1",TRUE,TRUE,TRUE,"chr16",23581002,23596356,"-",15355,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,6,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004799","PDK4",TRUE,TRUE,TRUE,"chr7",95583499,95596491,"-",12993,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,11,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004809","SLC22A16",TRUE,TRUE,TRUE,"chr6",110424687,110476641,"-",51955,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,8,10,TRUE,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004838","ZMYND10",TRUE,TRUE,TRUE,"chr3",50341110,50346852,"-",5743,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,9,12,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004846","ABCB5",TRUE,TRUE,TRUE,"chr7",20615207,20777038,"+",161832,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,6,28,TRUE,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004848","ARX",TRUE,TRUE,TRUE,"chrX",25003694,25015948,"-",12255,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,5,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004864","SLC25A13",TRUE,TRUE,TRUE,"chr7",96120220,96322147,"-",201928,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,8,18,TRUE,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004866","ST7",TRUE,TRUE,TRUE,"chr7",116953238,117230103,"+",276866,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,30,16,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004897","CDC27",TRUE,TRUE,TRUE,"chr17",47117703,47189422,"-",71720,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,19,19,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004939","SLC4A1",TRUE,TRUE,TRUE,"chr17",44248385,44268141,"-",19757,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,20,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004948","CALCR",TRUE,TRUE,TRUE,"chr7",93424487,93574730,"-",150244,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,7,16,TRUE,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004961","HCCS",TRUE,TRUE,TRUE,"chrX",11111301,11123078,"+",11778,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,7,TRUE,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000004975","DVL2",TRUE,TRUE,TRUE,"chr17",7225341,7234545,"-",9205,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,15,15,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000005001","PRSS22",TRUE,TRUE,TRUE,"chr16",2852727,2858170,"-",5444,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,8,6,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000005007","UPF1",TRUE,TRUE,TRUE,"chr19",18831938,18868236,"+",36299,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,13,24,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000005020","SKAP2",TRUE,TRUE,TRUE,"chr7",26667062,26995239,"-",328178,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,9,13,TRUE,1,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000005022","SLC25A5",TRUE,TRUE,TRUE,"chrX",119468400,119471319,"+",2920,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4,4,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000005059","MCUB",TRUE,TRUE,TRUE,"chr4",109560205,109688726,"+",128522,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,8,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000005073","HOXA11",TRUE,TRUE,TRUE,"chr7",27181510,27185223,"-",3714,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2,3,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000005075","POLR2J",TRUE,TRUE,TRUE,"chr7",102473118,102478907,"-",5790,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,2,4,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000005100","DHX33",TRUE,TRUE,TRUE,"chr17",5440912,5469060,"-",28149,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,12,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000005102","MEOX1",TRUE,TRUE,TRUE,"chr17",43640388,43661954,"-",21567,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,4,4,TRUE,1,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000005108","THSD7A",TRUE,TRUE,TRUE,"chr7",11370357,11832198,"-",461842,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,5,28,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000005156","LIG3",TRUE,TRUE,TRUE,"chr17",34980494,35009743,"+",29250,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,16,20,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
"ENSG00000005175","RPAP3",TRUE,TRUE,TRUE,"chr12",47661249,47706061,"-",44813,"protein_coding",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,7,17,TRUE,1,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,"high",TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
